Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.3', '224.0.0.251', 'UDP', 5353, 5353)
Allowed: ('192.168.1.4', '157.240.227.1', 'TCP', 56693, 443)
Allowed: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '157.240.227.1', 'TCP', 56693, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('157.240.227.1', '192.168.1.4', 'TCP', 443, 56693)
Allowed: ('157.240.227.1', '192.168.1.4', 'TCP', 443, 56693)
Allowed: ('192.168.1.4', '157.240.227.1', 'TCP', 56693, 443)
Allowed: ('35.174.127.31', '192.168.1.4', 'TCP', 443, 56694)
Allowed: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
